SampledDate,Biochemical Oxygen Demand,TSS - Change in Wt,Total Suspended Solids,pH
2025-08-01,,1.64,436.0,
2025-08-02,,2.68,435.0,
2025-08-03,540.0,2.17,920.0,6.21
2025-08-04,651.0,0.32,525.0,6.14
2025-08-05,1422.0,0.85,468.0,6.29
2025-08-06,704.0,0.84,476.0,6.29
2025-08-07,570.0,0.0,471.0,6.38
2025-08-08,,0.78,516.0,
2025-08-09,,2.54,394.0,
2025-08-10,582.0,1.55,430.0,6.67
2025-08-11,579.0,0.47,528.0,6.58
2025-08-12,753.0,1.48,508.0,6.66
2025-08-13,756.0,2.62,534.0,6.71
2025-08-14,778.0,3.51,570.0,6.86
2025-08-15,,2.79,461.0,
2025-08-16,,0.74,450.0,
2025-08-17,578.0,0.4,494.0,6.0
2025-08-18,731.0,0.81,492.0,6.56
2025-08-19,523.0,0.37,452.0,6.15
2025-08-20,567.0,0.77,559.0,6.22
2025-08-21,767.0,1.06,404.0,7.32
2025-08-22,,1.67,598.0,
2025-08-23,,0.34,582.0,
2025-08-24,583.0,1.64,488.0,6.02
2025-08-25,622.0,2.07,483.0,6.58
2025-08-26,604.0,1.45,414.0,7.95
2025-08-27,708.0,0.77,556.0,6.13
2025-08-28,706.0,1.04,482.0,6.36
2025-08-29,,0.26,389.0,
2025-08-30,,1.64,349.0,
2025-08-31,,1.89,412.0,
2025-09-01,620.0,0.5,503.0,6.39
2025-09-02,641.0,0.73,587.0,6.47
2025-09-03,722.0,0.85,669.0,6.24
2025-09-04,777.0,1.93,726.0,6.01
2025-09-05,,2.74,584.0,
2025-09-06,,0.0,527.0,
2025-09-07,674.0,0.55,610.0,6.03
2025-09-08,558.0,1.14,587.0,6.18
2025-09-09,603.0,1.26,598.0,6.01
2025-09-10,570.0,0.79,630.0,6.04
2025-09-11,613.0,0.37,534.0,6.67
2025-09-12,,2.35,567.0,
2025-09-13,,0.52,768.0,
2025-09-14,740.0,0.31,650.0,6.62
2025-09-15,714.0,2.02,660.0,6.55
2025-09-16,693.0,0.35,723.0,6.26
2025-09-17,689.0,4.4,795.0,6.46
2025-09-18,625.0,0.0,710.0,6.6
2025-09-19,,0.44,757.0,
2025-09-20,,1.33,750.0,
2025-09-21,637.0,0.86,773.0,6.15
2025-09-22,654.0,4.31,1547.0,6.17
2025-09-23,645.0,3.6,740.0,6.59
2025-09-24,588.0,0.4,830.0,6.22
2025-09-25,634.0,4.05,577.0,6.13
2025-09-26,,1.16,648.0,
2025-09-27,,2.26,737.0,
2025-09-28,653.0,0.45,737.0,6.3
2025-09-29,504.0,2.68,653.0,6.39
2025-09-30,540.0,2.35,1065.0,6.41
2025-10-01,545.0,0.28,718.0,6.35
2025-10-02,470.0,0.85,393.0,6.71
2025-10-03,,1.52,493.0,
2025-10-04,,0.55,458.0,
2025-10-05,480.0,0.49,410.0,6.61
2025-10-06,509.0,0.34,485.0,6.37
2025-10-07,391.0,0.64,446.0,6.29
2025-10-08,501.0,1.33,429.0,6.91
2025-10-09,640.0,0.47,533.0,6.16
2025-10-10,,0.0,773.0,
2025-10-11,,2.65,452.0,
2025-10-12,522.0,2.26,443.0,6.51
2025-10-13,580.0,3.82,437.0,6.39
2025-10-14,650.0,0.42,474.0,6.32
2025-10-15,532.0,1.01,495.0,6.67
2025-10-16,566.0,1.06,470.0,6.11
2025-10-17,,1.57,508.0,
2025-10-18,,1.21,494.0,
2025-10-19,1059.0,3.81,420.0,6.14
2025-10-20,619.0,0.0,520.0,6.11
2025-10-21,662.0,1.32,454.0,6.07
2025-10-22,662.0,4.29,700.0,6.18
2025-10-23,653.0,0.88,452.0,6.5
2025-10-24,,0.0,467.0,
2025-10-25,,0.66,503.0,
2025-10-26,510.0,4.81,520.0,6.15
2025-10-27,416.0,3.06,382.0,6.2
2025-10-28,348.0,1.08,462.0,6.28
2025-10-29,387.0,1.63,492.0,6.3
2025-10-30,394.0,4.0,400.0,6.43
2025-10-31,,4.39,456.0,
2025-11-01,,0.41,482.0,
2025-11-02,477.0,2.24,447.0,6.55
2025-11-03,614.0,1.14,526.0,6.61
2025-11-04,561.0,1.6,626.0,6.46
2025-11-05,602.0,3.73,482.0,6.1
2025-11-06,604.0,2.24,447.0,6.27
2025-11-07,,0.37,534.0,
2025-11-08,,0.0,520.0,
2025-11-09,588.0,0.0,480.0,6.31
2025-11-10,,2.13,658.0,
2025-11-11,453.0,0.42,478.0,6.39
2025-11-12,344.0,3.67,545.0,7.76
2025-11-13,429.0,0.35,578.0,6.16
2025-11-14,,0.6,672.0,
2025-11-15,,1.55,516.0,
2025-11-16,694.0,0.0,540.0,6.01
2025-11-17,735.0,0.85,706.0,6.88
2025-11-18,714.0,0.83,480.0,6.42
2025-11-19,665.0,1.15,497.0,6.01
2025-11-20,679.0,0.57,700.0,6.0
2025-11-21,,2.59,331.0,
2025-11-22,,0.94,319.0,
2025-11-23,570.0,4.58,524.0,6.51
2025-11-24,728.0,2.31,556.0,6.1
2025-11-25,474.0,1.72,485.0,6.26
2025-11-26,,1.28,624.0,
2025-11-27,,1.92,446.0,
2025-11-28,,1.15,653.0,
2025-11-29,,1.9,658.0,
2025-11-30,846.0,0.45,737.0,6.11
2025-12-01,702.0,1.67,800.0,6.45
2025-12-02,657.0,2.65,630.0,6.17
2025-12-03,796.0,0.74,900.0,6.34
2025-12-04,901.0,4.51,887.0,6.13
2025-12-05,,1.45,414.0,
2025-12-06,,3.73,803.0,
2025-12-07,614.0,3.16,632.0,6.28
2025-12-08,718.0,1.15,522.0,6.31
2025-12-09,831.0,1.85,758.0,6.38
2025-12-10,744.0,0.0,608.0,6.17
2025-12-11,703.0,2.44,492.0,6.35
2025-12-12,,2.7,740.0,
2025-12-13,,0.53,468.0,
2025-12-14,559.0,1.09,458.0,6.29
2025-12-15,421.0,2.81,311.0,6.53
2025-12-16,553.0,1.8,327.0,6.12
2025-12-17,572.0,1.84,652.0,6.2
2025-12-18,803.0,4.11,730.0,6.19
2025-12-19,,0.0,560.0,
2025-12-20,,0.0,435.0,
2025-12-21,587.0,3.31,403.0,6.36
2025-12-22,566.0,0.79,420.0,6.45
2025-12-23,,3.35,538.0,
2025-12-24,,3.19,376.0,
2025-12-25,488.0,0.4,418.0,6.34
2025-12-26,,0.39,518.0,
2025-12-27,,2.76,414.0,
2025-12-28,392.0,2.46,407.0,6.48
2025-12-29,408.0,1.75,244.0,6.47
2025-12-30,385.0,2.39,299.0,6.69
2025-12-31,,1.98,361.0,
2026-01-01,612.0,,,6.78
2026-01-04,384.0,,,6.58
2026-01-05,593.0,,,6.44
2026-01-06,448.0,,,6.39
